ward_name,umap_x,umap_y,cluster_label
Gali Anjaneya Temple Ward,4.950415819968446,0.2560195528698226,Distressed
Devaraj Urs Nagar,-6.14174382618952,1.2411496753871734,Developing
Attiguppe,-0.47081296800092176,-9.936551148632143,Distressed
Deepanjali Nagar,-4.35795235534214,13.793886239055208,Green Suburbs
Avalahalli,-1.3582477620341264,-0.522756942842632,Urban Core
Chalavadipalya,-6.971488751022089,-2.888376530576728,Urban Core
K R Market,-3.297125296854077,-6.288227188995235,Commercial Hub
Chamrajapet,0.9128149534767138,3.7974534322700353,Urban Core
Azad Nagar,-1.1411899657581581,2.265198282860295,Urban Core
Kudlu,5.365590133996875,3.900156964125231,Green Suburbs
Dharmaraya Swamy Temple,1.0558265050451623,-3.29236797630628,Commercial Hub
Silver Jublee Park,0.8696175598757623,1.004198693470525,Urban Core
Sunkenahalli,-1.7770715206427368,7.888490493463214,Developing
Lakkasandra,-5.148525616556131,-6.548659871838161,Developing
Vishveshwara Puram,2.407538154956527,2.2603469875126723,Urban Core
Ashok Nagar,-10.02782623953432,9.15184364687806,Distressed
Hombegowda Nagar,1.7950332047719604,3.2984127470293423,Urban Core
B Venkata Reddy Nagar,6.889606177960256,-1.8879829013423022,Commercial Hub
Shanthi Nagar,6.328995421831724,0.26010325219809877,Commercial Hub
Nilasandra,0.6358695959714269,4.698144234638653,Distressed
Vannarpet,1.0873503069588792,2.2801979419184732,Urban Core
Jogupalya,2.95332648352189,7.170188322607919,Urban Core
Domlur,1.461876699939999,6.667001171663624,Urban Core
Jakkasandra,-6.857066811104659,-4.302619339906196,Developing
Hosakerehalli,-0.3623885979701753,-3.2036430631332236,Green Suburbs
Subrahmanyapura,-11.12866668694445,-1.552219902718309,Green Suburbs
Vasanthpura,0.7359618747925957,-3.2798344412819476,Distressed
Konanakunte,3.5107801827130647,1.2022375257000564,Green Suburbs
RBI layout,9.194532821547522,-1.095957723594116,Developing
Hosa Road,7.250208525158274,2.264371633974456,Distressed
Anjanapura,-1.331064752032458,4.077379773483925,Developing
Gottigere,0.45291213107228995,-8.420020088980824,Green Suburbs
Naganathapura,-3.5451445115748608,4.293665675796673,Developing
Gharebhavipalya,4.262042050799873,0.6062408359573416,Commercial Hub
Ibluru,1.3115906874119623,-3.3026947240612436,Green Suburbs
Thanisandra,-2.566852726273352,7.27830201571444,Commercial Hub
Sanjaya Nagar,-1.929244463644524,-7.534611495690068,Distressed
Kodigehalli,0.7310739818877965,-4.85441436071924,Commercial Hub
Hebbal Kempapura,1.170476485855528,-4.453001994260678,Distressed
Garudachar Palya,-2.294105363375521,-1.3924653412953034,Commercial Hub
Ramamurthy Nagar,0.7635084970935723,9.814184775520744,Commercial Hub
Govindaraja Nagar,-3.45730531322781,-0.20866227649422947,Urban Core
Kalkere,-4.70912271851701,3.2805810093013537,Developing
Vijayanagar,3.846076386145248,-0.977524255078218,Green Suburbs
Sampangiram Nagar,3.9585892926264243,-4.876668388451111,Green Suburbs
Shivaji Nagar,0.637841165269561,-15.502591576876846,Developing
Subramanya Nagar,1.338315189622144,5.6321685837301505,Developing
Kadu Malleshwar Ward,8.009963273067065,-5.128013046230255,Urban Core
Agaram,-1.0254512834212632,2.395986016380202,Urban Core
Dayananda Nagar,3.3282499529195526,6.947553220599564,Green Suburbs
Kogilu,-0.8608838053963018,6.475742720976715,Distressed
Uttarahalli,2.0247067690767153,3.196465016327203,Green Suburbs
Hampi Nagar,-3.2643551795180286,2.7584011612798474,Commercial Hub
Padarayanapura,9.484443739360406,4.624567471625857,Commercial Hub
Hosahalli,6.386613823392243,-11.143400922126768,Urban Core
Sarakki,9.477105033935983,5.465960948948151,Green Suburbs
Jayanagar East,-12.474484571200971,1.9462846071336366,Developing
Adugodi,2.1825456596003083,-0.4423214081709243,Commercial Hub
Koramangala,6.125501462339685,4.748501921389349,Commercial Hub
Ejipura,1.3723416781828246,-11.510188265436039,Developing
Jaraganahalli,-0.1410608013431572,2.0699793436075495,Developing
Puttenahalli,-0.15289462382685842,1.7968008151088453,Commercial Hub
Bilekhalli,-1.5209809019059775,-4.4196147491417275,Developing
Hulimavu,0.715424685139972,4.319746685012201,Green Suburbs
Kodichikkanahalli,-1.0285250036009506,4.556373199170278,Developing
Hongasandra,-0.8117555408255885,5.62253169083642,Green Suburbs
Bommanahalli,-11.66272670626438,2.446170067750178,Distressed
Chowdeswari Ward,2.359349739383379,-3.3157962031619146,Distressed
Yelahanka Satellite Town,-7.6726066571292515,3.782659504933554,Urban Core
Kempegowda Ward,-3.6277057948752134,-4.602443938697891,Distressed
Manorayanapalya,4.250181975947849,-1.4512637791997942,Commercial Hub
Byatarayanapura,-11.173968028751236,-0.12865877944676277,Urban Core
Kuvempu Nagar,-4.9699069030539516,5.25482027583183,Green Suburbs
Vidyaranyapura,-0.7402930611941095,-3.4446776958378935,Green Suburbs
Dodda Bommasandra,11.153432563642877,7.700539118720158,Green Suburbs
Amrutahalli,4.84249401312438,-11.398649025680246,Urban Core
Vishwanath Nagenahalli,2.450068747065547,-5.3812684455644835,Distressed
Rajiv Nagar,-4.784856802880906,4.854429445440791,Green Suburbs
Jakkuru,-2.7202960900941555,-5.781266155715633,Distressed
K R Puram,1.5490955278546426,1.4741534460484726,Commercial Hub
Basavanapura,-0.9786248954194146,-3.5162214210032214,Urban Core
Byrathi,4.332887154851345,0.8659882135437369,Green Suburbs
Kadugodi,-9.128075892823231,4.330105324923013,Green Suburbs
Devara Jeevanahalli,7.373155637575609,9.636934216855597,Urban Core
S K Garden,0.05907158661297127,-0.332732203935429,Urban Core
Laxmidevi Nagar,3.5392192911647022,-9.593170454303689,Green Suburbs
Chowdeshwari Nagar,-7.957490770136712,-0.4819235158384482,Distressed
Laggere,-4.891339133646713,2.161286423003142,Commercial Hub
Dr. Puneet Rajkumar,6.606926247026705,6.677369489253273,Developing
Nagapura,-3.8768951483630323,-4.9442960126158875,Green Suburbs
Mahalakshmipuram,3.8278283994886815,5.72213729822062,Urban Core
Nalvadi Krishna Raja Wadiyar,0.6046500070597631,-3.622823787705922,Developing
Benniganahalli,7.568971275655215,3.785280009097085,Developing
C V Raman Nagar,3.4497013844804343,12.179963382331998,Distressed
Chikkalsandra,-3.0448738059300835,4.30342710684315,Commercial Hub
HSR Layout,-4.1643163757726755,-9.570933363704023,Green Suburbs
Mangammanapalya,-7.139032645421866,9.172045842507238,Green Suburbs
Begur,1.7904979144562363,1.0532474318196885,Commercial Hub
Suddagunte Palya,-1.1062275327570994,6.420401382711435,Distressed
Kalena Agrahara,-0.8508626570039188,1.2402521539326636,Urban Core
BTM Layout,0.4432541578934501,2.357920273145101,Urban Core
Someswara Temple Ward,4.813090270086073,4.9277108703818255,Developing
Madivala,-0.5810132012938906,2.2332025082769293,Urban Core
J P Nagar,-8.94330128816337,-1.1972754688279188,Developing
Dr. Raj Kumar Agrahara Dasarahalli,-1.3656607185962624,6.199679528173806,Distressed
Marenahalli,3.9754753486452348,0.41031707753702784,Developing
Gavi Gangadhareshwara,-0.6296671673975851,1.5463919256334722,Green Suburbs
Maruthi Mandir ward,-1.0635995846545967,-1.1464241304404403,Urban Core
Chandralayout,-1.707766660081482,1.4728840027015995,Commercial Hub
Nayandahalli,-3.2341815208381175,-3.407561189807276,Green Suburbs
Kamakshipalya,7.434976163330566,5.351148873735154,Developing
Dodda Ganapati,-3.2425843298206964,2.7055198564500875,Green Suburbs
Vidyapeeta ward,-1.740214831922828,-7.0100924782393825,Green Suburbs
Swamy Vivekananda,-0.9680119800369956,-5.161056999932001,Distressed
Katriguppe,3.52665665783126,1.9663590345576814,Distressed
Srinagar,3.7127033730019194,-0.08441489957559425,Urban Core
Shakambari Nagar,-5.292780211721445,-2.188485028628584,Green Suburbs
Gurappanapalya,2.181524279005994,-4.828339569236155,Distressed
Byrasandra,-0.8093238267886533,3.7854609218024797,Developing
Shivanagara,-8.619570239150196,0.6847089173405183,Commercial Hub
Rajaji Nagar,-2.8235117699897256,1.4420953745451688,Developing
Sriramamandir,2.541495330749035,3.7895758907379196,Green Suburbs
Basaveshwara Nagar,-1.0871397288810098,1.5444814663464848,Green Suburbs
Devagiri Temple Ward,1.942531619297165,2.454117020729773,Commercial Hub
Yelchenahalli,2.4617956248799544,-3.419047695695757,Developing
Hudi,2.801363299944456,-4.601793081534627,Developing
Vijnana Nagar,5.285295056782886,4.0325992937464985,Urban Core
White Field,-5.428556504451301,4.479986052068171,Distressed
Kaggadasanapura,0.7310567794879304,8.239600826473728,Commercial Hub
AECS Layout,-0.5474864949077203,3.502976986385637,Distressed
New Tippasandara,0.6172877808457127,-2.217622074002002,Developing
Bellanduru,-0.6555345481225007,1.2256938582230057,Distressed
Varthuru,-8.891741555884913,2.553677748036367,Commercial Hub
Kaveripura,-5.089747230675751,-0.9446578583409714,Urban Core
Marathahalli,1.4173923778825424,-1.740785602797358,Distressed
Yediyur,-3.347806148664734,-0.025204351117643506,Commercial Hub
Munekollal,-2.2160934621384785,-5.820447947893035,Green Suburbs
Ganesh Mandir ward,-10.28172621894765,-3.9020230296431375,Urban Core
Banashankari Temple ward,0.5875880957904831,-3.044580647524768,Developing
Kumaraswamy Layout,0.03953522386974253,-0.7861819601427609,Distressed
Padmanabha Nagar,-0.294631772615258,1.6899201656660638,Developing
