ward_id,year,driver_1_feature,driver_2_feature
84,2021,Price Surge,Crime Rate
85,2021,Price Surge,Transit Access
125,2021,Pending Complaints,Air Quality
101,2021,Price Surge,Crime Rate
128,2021,Pending Complaints,Crime Rate
108,2021,Air Quality,Transit Access
113,2021,Green Cover Loss,Crime Rate
114,2021,Transit Access,Air Quality
139,2021,Air Quality,Transit Access
115,2021,Crime Rate,Price Surge
116,2021,Green Cover Loss,Transit Access
117,2021,Pending Complaints,Air Quality
120,2021,Air Quality,Price Surge
121,2021,Crime Rate,Price Surge
122,2021,Price Surge,Green Cover Loss
123,2021,Crime Rate,Pending Complaints
124,2021,Air Quality,Pending Complaints
126,2021,Crime Rate,Green Cover Loss
127,2021,Pending Complaints,Transit Access
141,2021,Pending Complaints,Air Quality
144,2021,Air Quality,Pending Complaints
154,2021,Crime Rate,Air Quality
148,2021,Air Quality,Price Surge
149,2021,Green Cover Loss,Crime Rate
155,2021,Air Quality,Price Surge
150,2021,Pending Complaints,Crime Rate
151,2021,Transit Access,Crime Rate
152,2021,Green Cover Loss,Air Quality
156,2021,Price Surge,Crime Rate
157,2021,Price Surge,Air Quality
158,2021,Air Quality,Crime Rate
159,2021,Transit Access,Green Cover Loss
225,2021,Air Quality,Transit Access
160,2021,Price Surge,Transit Access
161,2021,Price Surge,Air Quality
162,2021,Green Cover Loss,Crime Rate
177,2021,Air Quality,Transit Access
163,2021,Green Cover Loss,Crime Rate
167,2021,Crime Rate,Air Quality
164,2021,Price Surge,Pending Complaints
165,2021,Pending Complaints,Transit Access
166,2021,Transit Access,Price Surge
168,2021,Pending Complaints,Air Quality
169,2021,Pending Complaints,Transit Access
170,2021,Air Quality,Price Surge
171,2021,Green Cover Loss,Crime Rate
175,2021,Pending Complaints,Crime Rate
195,2021,Air Quality,Crime Rate
203,2021,Green Cover Loss,Transit Access
204,2021,Pending Complaints,Transit Access
206,2021,Crime Rate,Price Surge
207,2021,Price Surge,Transit Access
224,2021,Crime Rate,Green Cover Loss
208,2021,Transit Access,Crime Rate
209,2021,Pending Complaints,Crime Rate
212,2021,Crime Rate,Price Surge
220,2021,Crime Rate,Green Cover Loss
222,2021,Transit Access,Price Surge
7,2021,Price Surge,Green Cover Loss
62,2021,Green Cover Loss,Crime Rate
11,2021,Green Cover Loss,Pending Complaints
9,2021,Pending Complaints,Crime Rate
100,2021,Price Surge,Crime Rate
90,2021,Green Cover Loss,Crime Rate
136,2021,Price Surge,Green Cover Loss
88,2021,Price Surge,Green Cover Loss
145,2021,Transit Access,Air Quality
118,2021,Air Quality,Price Surge
119,2021,Price Surge,Crime Rate
59,2021,Crime Rate,Price Surge
58,2021,Pending Complaints,Green Cover Loss
172,2021,Crime Rate,Price Surge
129,2021,Air Quality,Pending Complaints
5,2021,Transit Access,Pending Complaints
202,2021,Transit Access,Price Surge
147,2021,Air Quality,Green Cover Loss
153,2021,Air Quality,Green Cover Loss
146,2021,Air Quality,Transit Access
187,2021,Price Surge,Transit Access
184,2021,Air Quality,Price Surge
176,2021,Pending Complaints,Air Quality
174,2021,Air Quality,Price Surge
173,2021,Price Surge,Pending Complaints
213,2021,Crime Rate,Price Surge
214,2021,Crime Rate,Price Surge
215,2021,Pending Complaints,Crime Rate
216,2021,Pending Complaints,Crime Rate
217,2021,Air Quality,Transit Access
219,2021,Pending Complaints,Price Surge
218,2021,Crime Rate,Price Surge
2,2021,Transit Access,Pending Complaints
4,2021,Pending Complaints,Air Quality
1,2021,Air Quality,Price Surge
65,2021,Price Surge,Green Cover Loss
10,2021,Transit Access,Pending Complaints
14,2021,Green Cover Loss,Air Quality
13,2021,Green Cover Loss,Pending Complaints
12,2021,Crime Rate,Price Surge
8,2021,Pending Complaints,Air Quality
64,2021,Transit Access,Price Surge
46,2021,Pending Complaints,Transit Access
6,2021,Crime Rate,Transit Access
91,2021,Green Cover Loss,Crime Rate
92,2021,Price Surge,Crime Rate
99,2021,Crime Rate,Air Quality
97,2021,Pending Complaints,Price Surge
72,2021,Green Cover Loss,Pending Complaints
73,2021,Price Surge,Air Quality
38,2021,Air Quality,Pending Complaints
40,2021,Transit Access,Crime Rate
39,2021,Air Quality,Green Cover Loss
47,2021,Pending Complaints,Crime Rate
49,2021,Price Surge,Transit Access
48,2021,Price Surge,Pending Complaints
50,2021,Air Quality,Crime Rate
109,2021,Air Quality,Green Cover Loss
110,2021,Green Cover Loss,Price Surge
194,2021,Air Quality,Transit Access
221,2021,Crime Rate,Transit Access
223,2021,Transit Access,Green Cover Loss
211,2021,Pending Complaints,Green Cover Loss
178,2021,Air Quality,Pending Complaints
210,2021,Crime Rate,Pending Complaints
181,2021,Green Cover Loss,Crime Rate
180,2021,Price Surge,Crime Rate
179,2021,Transit Access,Price Surge
185,2021,Transit Access,Price Surge
135,2021,Transit Access,Price Surge
137,2021,Transit Access,Green Cover Loss
196,2021,Air Quality,Crime Rate
140,2021,Pending Complaints,Air Quality
142,2021,Transit Access,Crime Rate
143,2021,Crime Rate,Green Cover Loss
134,2021,Air Quality,Green Cover Loss
198,2021,Crime Rate,Green Cover Loss
199,2021,Price Surge,Green Cover Loss
200,2021,Pending Complaints,Transit Access
201,2021,Price Surge,Transit Access
197,2021,Price Surge,Air Quality
186,2021,Air Quality,Price Surge
183,2021,Air Quality,Transit Access
182,2021,Green Cover Loss,Pending Complaints
131,2021,Pending Complaints,Air Quality
132,2021,Crime Rate,Transit Access
130,2021,Pending Complaints,Green Cover Loss
133,2021,Transit Access,Pending Complaints
190,2021,Transit Access,Air Quality
205,2021,Transit Access,Air Quality
98,2021,Green Cover Loss,Pending Complaints
95,2021,Green Cover Loss,Crime Rate
103,2021,Pending Complaints,Green Cover Loss
111,2021,Green Cover Loss,Transit Access
102,2021,Crime Rate,Green Cover Loss
112,2021,Green Cover Loss,Air Quality
107,2021,Price Surge,Green Cover Loss
104,2021,Price Surge,Pending Complaints
138,2021,Pending Complaints,Crime Rate
106,2021,Green Cover Loss,Transit Access
188,2021,Price Surge,Crime Rate
105,2021,Transit Access,Air Quality
189,2021,Price Surge,Air Quality
191,2021,Crime Rate,Green Cover Loss
192,2021,Price Surge,Crime Rate
193,2021,Crime Rate,Transit Access
3,2022,Transit Access,Green Cover Loss
17,2022,Air Quality,Pending Complaints
15,2022,Green Cover Loss,Air Quality
16,2022,Price Surge,Green Cover Loss
18,2022,Green Cover Loss,Transit Access
19,2022,Air Quality,Price Surge
37,2022,Price Surge,Transit Access
20,2022,Pending Complaints,Transit Access
21,2022,Crime Rate,Green Cover Loss
67,2022,Crime Rate,Air Quality
22,2022,Price Surge,Air Quality
23,2022,Transit Access,Price Surge
63,2022,Crime Rate,Price Surge
24,2022,Air Quality,Price Surge
25,2022,Pending Complaints,Transit Access
26,2022,Price Surge,Green Cover Loss
30,2022,Crime Rate,Pending Complaints
27,2022,Crime Rate,Green Cover Loss
28,2022,Price Surge,Crime Rate
29,2022,Crime Rate,Transit Access
35,2022,Price Surge,Transit Access
31,2022,Air Quality,Crime Rate
36,2022,Transit Access,Price Surge
52,2022,Pending Complaints,Price Surge
32,2022,Price Surge,Air Quality
33,2022,Pending Complaints,Price Surge
34,2022,Air Quality,Pending Complaints
41,2022,Transit Access,Pending Complaints
53,2022,Price Surge,Green Cover Loss
70,2022,Green Cover Loss,Transit Access
42,2022,Pending Complaints,Crime Rate
54,2022,Green Cover Loss,Pending Complaints
55,2022,Crime Rate,Green Cover Loss
43,2022,Crime Rate,Transit Access
44,2022,Pending Complaints,Price Surge
45,2022,Air Quality,Crime Rate
51,2022,Price Surge,Pending Complaints
71,2022,Crime Rate,Pending Complaints
56,2022,Green Cover Loss,Price Surge
57,2022,Air Quality,Green Cover Loss
60,2022,Transit Access,Crime Rate
61,2022,Green Cover Loss,Price Surge
66,2022,Pending Complaints,Green Cover Loss
68,2022,Crime Rate,Pending Complaints
69,2022,Price Surge,Transit Access
74,2022,Pending Complaints,Air Quality
75,2022,Transit Access,Price Surge
86,2022,Air Quality,Pending Complaints
89,2022,Transit Access,Price Surge
80,2022,Pending Complaints,Transit Access
93,2022,Price Surge,Green Cover Loss
87,2022,Pending Complaints,Air Quality
81,2022,Price Surge,Transit Access
94,2022,Green Cover Loss,Price Surge
82,2022,Air Quality,Pending Complaints
76,2022,Price Surge,Green Cover Loss
96,2022,Price Surge,Crime Rate
78,2022,Transit Access,Crime Rate
77,2022,Pending Complaints,Transit Access
79,2022,Green Cover Loss,Pending Complaints
83,2022,Pending Complaints,Green Cover Loss
84,2022,Crime Rate,Transit Access
85,2022,Green Cover Loss,Pending Complaints
125,2022,Green Cover Loss,Crime Rate
101,2022,Crime Rate,Transit Access
128,2022,Green Cover Loss,Pending Complaints
108,2022,Pending Complaints,Transit Access
113,2022,Pending Complaints,Air Quality
114,2022,Pending Complaints,Transit Access
139,2022,Transit Access,Air Quality
115,2022,Crime Rate,Air Quality
116,2022,Crime Rate,Price Surge
117,2022,Crime Rate,Green Cover Loss
120,2022,Pending Complaints,Price Surge
121,2022,Air Quality,Crime Rate
122,2022,Crime Rate,Transit Access
123,2022,Green Cover Loss,Transit Access
124,2022,Crime Rate,Price Surge
126,2022,Transit Access,Price Surge
127,2022,Air Quality,Price Surge
141,2022,Transit Access,Green Cover Loss
144,2022,Air Quality,Crime Rate
154,2022,Price Surge,Pending Complaints
148,2022,Price Surge,Crime Rate
149,2022,Price Surge,Air Quality
155,2022,Pending Complaints,Transit Access
150,2022,Pending Complaints,Air Quality
151,2022,Crime Rate,Transit Access
152,2022,Pending Complaints,Price Surge
156,2022,Transit Access,Air Quality
157,2022,Price Surge,Green Cover Loss
158,2022,Pending Complaints,Transit Access
159,2022,Green Cover Loss,Pending Complaints
225,2022,Transit Access,Crime Rate
160,2022,Air Quality,Pending Complaints
161,2022,Crime Rate,Price Surge
162,2022,Price Surge,Transit Access
177,2022,Price Surge,Transit Access
163,2022,Pending Complaints,Crime Rate
167,2022,Pending Complaints,Transit Access
164,2022,Crime Rate,Pending Complaints
165,2022,Price Surge,Transit Access
166,2022,Price Surge,Crime Rate
168,2022,Air Quality,Green Cover Loss
169,2022,Green Cover Loss,Air Quality
170,2022,Pending Complaints,Crime Rate
171,2022,Crime Rate,Transit Access
175,2022,Transit Access,Air Quality
195,2022,Green Cover Loss,Transit Access
203,2022,Transit Access,Crime Rate
204,2022,Transit Access,Pending Complaints
206,2022,Green Cover Loss,Pending Complaints
207,2022,Price Surge,Air Quality
224,2022,Crime Rate,Transit Access
208,2022,Air Quality,Green Cover Loss
209,2022,Transit Access,Crime Rate
212,2022,Pending Complaints,Crime Rate
220,2022,Transit Access,Air Quality
222,2022,Price Surge,Pending Complaints
7,2022,Green Cover Loss,Price Surge
62,2022,Air Quality,Crime Rate
11,2022,Transit Access,Green Cover Loss
9,2022,Green Cover Loss,Air Quality
100,2022,Pending Complaints,Transit Access
90,2022,Transit Access,Pending Complaints
136,2022,Air Quality,Price Surge
88,2022,Price Surge,Pending Complaints
145,2022,Transit Access,Price Surge
118,2022,Price Surge,Crime Rate
119,2022,Crime Rate,Transit Access
59,2022,Green Cover Loss,Transit Access
58,2022,Air Quality,Transit Access
172,2022,Pending Complaints,Air Quality
129,2022,Pending Complaints,Price Surge
5,2022,Pending Complaints,Price Surge
202,2022,Transit Access,Crime Rate
147,2022,Pending Complaints,Green Cover Loss
153,2022,Air Quality,Green Cover Loss
146,2022,Green Cover Loss,Price Surge
187,2022,Green Cover Loss,Pending Complaints
184,2022,Pending Complaints,Air Quality
176,2022,Transit Access,Price Surge
174,2022,Price Surge,Air Quality
173,2022,Green Cover Loss,Transit Access
213,2022,Price Surge,Transit Access
214,2022,Crime Rate,Pending Complaints
215,2022,Price Surge,Crime Rate
216,2022,Green Cover Loss,Price Surge
217,2022,Pending Complaints,Crime Rate
219,2022,Pending Complaints,Crime Rate
218,2022,Air Quality,Transit Access
2,2022,Green Cover Loss,Transit Access
4,2022,Green Cover Loss,Crime Rate
1,2022,Crime Rate,Price Surge
65,2022,Transit Access,Crime Rate
10,2022,Crime Rate,Transit Access
14,2022,Air Quality,Green Cover Loss
13,2022,Green Cover Loss,Air Quality
12,2022,Green Cover Loss,Pending Complaints
8,2022,Price Surge,Crime Rate
64,2022,Price Surge,Green Cover Loss
46,2022,Green Cover Loss,Crime Rate
6,2022,Green Cover Loss,Air Quality
91,2022,Transit Access,Pending Complaints
92,2022,Transit Access,Pending Complaints
99,2022,Green Cover Loss,Pending Complaints
97,2022,Pending Complaints,Green Cover Loss
72,2022,Price Surge,Pending Complaints
73,2022,Transit Access,Price Surge
38,2022,Air Quality,Green Cover Loss
40,2022,Crime Rate,Price Surge
39,2022,Transit Access,Price Surge
47,2022,Price Surge,Crime Rate
49,2022,Pending Complaints,Price Surge
48,2022,Green Cover Loss,Crime Rate
50,2022,Crime Rate,Air Quality
109,2022,Crime Rate,Air Quality
110,2022,Air Quality,Transit Access
194,2022,Crime Rate,Transit Access
221,2022,Transit Access,Pending Complaints
223,2022,Price Surge,Air Quality
211,2022,Green Cover Loss,Crime Rate
178,2022,Green Cover Loss,Transit Access
210,2022,Air Quality,Green Cover Loss
181,2022,Green Cover Loss,Pending Complaints
180,2022,Air Quality,Green Cover Loss
179,2022,Crime Rate,Pending Complaints
185,2022,Air Quality,Pending Complaints
135,2022,Price Surge,Green Cover Loss
137,2022,Air Quality,Transit Access
196,2022,Green Cover Loss,Crime Rate
140,2022,Price Surge,Green Cover Loss
142,2022,Crime Rate,Green Cover Loss
143,2022,Pending Complaints,Green Cover Loss
134,2022,Green Cover Loss,Air Quality
198,2022,Pending Complaints,Green Cover Loss
199,2022,Pending Complaints,Air Quality
200,2022,Crime Rate,Price Surge
201,2022,Green Cover Loss,Price Surge
197,2022,Price Surge,Transit Access
186,2022,Transit Access,Air Quality
183,2022,Price Surge,Crime Rate
182,2022,Price Surge,Pending Complaints
131,2022,Transit Access,Crime Rate
132,2022,Price Surge,Crime Rate
130,2022,Transit Access,Air Quality
133,2022,Green Cover Loss,Pending Complaints
190,2022,Transit Access,Price Surge
205,2022,Green Cover Loss,Price Surge
98,2022,Price Surge,Green Cover Loss
95,2022,Crime Rate,Pending Complaints
103,2022,Price Surge,Pending Complaints
111,2022,Green Cover Loss,Price Surge
102,2022,Pending Complaints,Crime Rate
112,2022,Air Quality,Pending Complaints
107,2022,Air Quality,Green Cover Loss
104,2022,Green Cover Loss,Crime Rate
138,2022,Green Cover Loss,Pending Complaints
106,2022,Green Cover Loss,Price Surge
188,2022,Pending Complaints,Price Surge
105,2022,Crime Rate,Price Surge
189,2022,Transit Access,Price Surge
191,2022,Transit Access,Air Quality
192,2022,Air Quality,Transit Access
193,2022,Pending Complaints,Crime Rate
3,2023,Pending Complaints,Transit Access
17,2023,Pending Complaints,Crime Rate
15,2023,Air Quality,Transit Access
16,2023,Transit Access,Price Surge
18,2023,Crime Rate,Green Cover Loss
19,2023,Pending Complaints,Green Cover Loss
37,2023,Crime Rate,Pending Complaints
20,2023,Price Surge,Green Cover Loss
21,2023,Air Quality,Pending Complaints
67,2023,Pending Complaints,Transit Access
22,2023,Air Quality,Crime Rate
23,2023,Price Surge,Transit Access
63,2023,Air Quality,Green Cover Loss
24,2023,Price Surge,Pending Complaints
25,2023,Crime Rate,Pending Complaints
26,2023,Crime Rate,Transit Access
30,2023,Air Quality,Pending Complaints
27,2023,Air Quality,Pending Complaints
28,2023,Transit Access,Price Surge
29,2023,Crime Rate,Transit Access
35,2023,Pending Complaints,Crime Rate
31,2023,Transit Access,Green Cover Loss
36,2023,Pending Complaints,Air Quality
52,2023,Crime Rate,Price Surge
32,2023,Green Cover Loss,Air Quality
33,2023,Transit Access,Crime Rate
34,2023,Crime Rate,Pending Complaints
41,2023,Transit Access,Air Quality
53,2023,Green Cover Loss,Crime Rate
70,2023,Green Cover Loss,Crime Rate
42,2023,Transit Access,Air Quality
54,2023,Green Cover Loss,Pending Complaints
55,2023,Green Cover Loss,Air Quality
43,2023,Air Quality,Price Surge
44,2023,Green Cover Loss,Price Surge
45,2023,Transit Access,Price Surge
51,2023,Air Quality,Green Cover Loss
71,2023,Green Cover Loss,Price Surge
56,2023,Price Surge,Air Quality
57,2023,Pending Complaints,Crime Rate
60,2023,Pending Complaints,Air Quality
61,2023,Price Surge,Pending Complaints
66,2023,Crime Rate,Pending Complaints
68,2023,Pending Complaints,Crime Rate
69,2023,Green Cover Loss,Air Quality
74,2023,Price Surge,Pending Complaints
75,2023,Crime Rate,Air Quality
86,2023,Crime Rate,Air Quality
89,2023,Transit Access,Pending Complaints
80,2023,Price Surge,Transit Access
93,2023,Transit Access,Pending Complaints
87,2023,Green Cover Loss,Transit Access
81,2023,Price Surge,Crime Rate
94,2023,Green Cover Loss,Air Quality
82,2023,Pending Complaints,Transit Access
76,2023,Pending Complaints,Green Cover Loss
96,2023,Green Cover Loss,Pending Complaints
78,2023,Air Quality,Pending Complaints
77,2023,Transit Access,Pending Complaints
79,2023,Pending Complaints,Air Quality
83,2023,Pending Complaints,Green Cover Loss
84,2023,Crime Rate,Transit Access
85,2023,Crime Rate,Air Quality
125,2023,Green Cover Loss,Pending Complaints
101,2023,Pending Complaints,Green Cover Loss
128,2023,Price Surge,Air Quality
108,2023,Pending Complaints,Air Quality
113,2023,Price Surge,Pending Complaints
114,2023,Crime Rate,Price Surge
139,2023,Price Surge,Green Cover Loss
115,2023,Air Quality,Green Cover Loss
116,2023,Pending Complaints,Transit Access
117,2023,Transit Access,Air Quality
120,2023,Price Surge,Air Quality
121,2023,Transit Access,Air Quality
122,2023,Price Surge,Crime Rate
123,2023,Price Surge,Crime Rate
124,2023,Pending Complaints,Crime Rate
126,2023,Price Surge,Crime Rate
127,2023,Pending Complaints,Price Surge
141,2023,Green Cover Loss,Price Surge
144,2023,Price Surge,Green Cover Loss
154,2023,Air Quality,Transit Access
148,2023,Price Surge,Crime Rate
149,2023,Crime Rate,Air Quality
155,2023,Transit Access,Crime Rate
150,2023,Crime Rate,Transit Access
151,2023,Pending Complaints,Crime Rate
152,2023,Green Cover Loss,Pending Complaints
156,2023,Price Surge,Air Quality
157,2023,Pending Complaints,Crime Rate
158,2023,Pending Complaints,Price Surge
159,2023,Crime Rate,Air Quality
225,2023,Transit Access,Crime Rate
160,2023,Crime Rate,Air Quality
161,2023,Transit Access,Price Surge
162,2023,Green Cover Loss,Pending Complaints
177,2023,Green Cover Loss,Pending Complaints
163,2023,Price Surge,Crime Rate
167,2023,Air Quality,Transit Access
164,2023,Pending Complaints,Transit Access
165,2023,Transit Access,Pending Complaints
166,2023,Green Cover Loss,Pending Complaints
168,2023,Price Surge,Transit Access
169,2023,Air Quality,Transit Access
170,2023,Pending Complaints,Price Surge
171,2023,Transit Access,Pending Complaints
175,2023,Pending Complaints,Transit Access
195,2023,Crime Rate,Price Surge
203,2023,Pending Complaints,Air Quality
204,2023,Price Surge,Crime Rate
206,2023,Pending Complaints,Price Surge
207,2023,Green Cover Loss,Air Quality
224,2023,Air Quality,Green Cover Loss
208,2023,Transit Access,Crime Rate
209,2023,Transit Access,Air Quality
212,2023,Transit Access,Air Quality
220,2023,Price Surge,Air Quality
222,2023,Green Cover Loss,Transit Access
7,2023,Transit Access,Crime Rate
62,2023,Crime Rate,Price Surge
11,2023,Green Cover Loss,Pending Complaints
9,2023,Green Cover Loss,Price Surge
100,2023,Pending Complaints,Green Cover Loss
90,2023,Pending Complaints,Price Surge
136,2023,Air Quality,Price Surge
88,2023,Crime Rate,Air Quality
145,2023,Air Quality,Pending Complaints
118,2023,Transit Access,Price Surge
119,2023,Green Cover Loss,Transit Access
59,2023,Crime Rate,Price Surge
58,2023,Green Cover Loss,Pending Complaints
172,2023,Air Quality,Pending Complaints
129,2023,Price Surge,Green Cover Loss
5,2023,Green Cover Loss,Price Surge
202,2023,Green Cover Loss,Price Surge
147,2023,Pending Complaints,Crime Rate
153,2023,Transit Access,Air Quality
146,2023,Price Surge,Pending Complaints
187,2023,Pending Complaints,Air Quality
184,2023,Crime Rate,Air Quality
176,2023,Green Cover Loss,Price Surge
174,2023,Transit Access,Pending Complaints
173,2023,Price Surge,Air Quality
213,2023,Green Cover Loss,Transit Access
214,2023,Crime Rate,Air Quality
215,2023,Air Quality,Price Surge
216,2023,Price Surge,Pending Complaints
217,2023,Pending Complaints,Air Quality
219,2023,Pending Complaints,Transit Access
218,2023,Transit Access,Price Surge
2,2023,Crime Rate,Green Cover Loss
4,2023,Price Surge,Air Quality
1,2023,Green Cover Loss,Crime Rate
65,2023,Price Surge,Crime Rate
10,2023,Air Quality,Pending Complaints
14,2023,Air Quality,Pending Complaints
13,2023,Air Quality,Pending Complaints
12,2023,Pending Complaints,Price Surge
8,2023,Air Quality,Green Cover Loss
64,2023,Price Surge,Crime Rate
46,2023,Green Cover Loss,Price Surge
6,2023,Crime Rate,Air Quality
91,2023,Green Cover Loss,Air Quality
92,2023,Price Surge,Green Cover Loss
99,2023,Transit Access,Green Cover Loss
97,2023,Price Surge,Pending Complaints
72,2023,Crime Rate,Transit Access
73,2023,Price Surge,Air Quality
38,2023,Price Surge,Green Cover Loss
40,2023,Air Quality,Crime Rate
39,2023,Price Surge,Pending Complaints
47,2023,Air Quality,Price Surge
49,2023,Green Cover Loss,Price Surge
48,2023,Price Surge,Green Cover Loss
50,2023,Air Quality,Price Surge
109,2023,Crime Rate,Pending Complaints
110,2023,Pending Complaints,Air Quality
194,2023,Pending Complaints,Price Surge
221,2023,Green Cover Loss,Price Surge
223,2023,Pending Complaints,Transit Access
211,2023,Green Cover Loss,Price Surge
178,2023,Pending Complaints,Price Surge
210,2023,Green Cover Loss,Pending Complaints
181,2023,Transit Access,Air Quality
180,2023,Crime Rate,Pending Complaints
179,2023,Price Surge,Transit Access
185,2023,Transit Access,Price Surge
135,2023,Price Surge,Air Quality
137,2023,Pending Complaints,Crime Rate
196,2023,Air Quality,Price Surge
140,2023,Green Cover Loss,Transit Access
142,2023,Price Surge,Crime Rate
143,2023,Price Surge,Transit Access
134,2023,Green Cover Loss,Crime Rate
198,2023,Crime Rate,Green Cover Loss
199,2023,Air Quality,Green Cover Loss
200,2023,Price Surge,Transit Access
201,2023,Price Surge,Pending Complaints
197,2023,Transit Access,Price Surge
186,2023,Air Quality,Price Surge
183,2023,Price Surge,Crime Rate
182,2023,Crime Rate,Pending Complaints
131,2023,Pending Complaints,Crime Rate
132,2023,Price Surge,Air Quality
130,2023,Air Quality,Price Surge
133,2023,Price Surge,Green Cover Loss
190,2023,Green Cover Loss,Pending Complaints
205,2023,Crime Rate,Air Quality
98,2023,Price Surge,Air Quality
95,2023,Crime Rate,Air Quality
103,2023,Transit Access,Air Quality
111,2023,Transit Access,Price Surge
102,2023,Pending Complaints,Price Surge
112,2023,Air Quality,Transit Access
107,2023,Air Quality,Pending Complaints
104,2023,Crime Rate,Pending Complaints
138,2023,Pending Complaints,Green Cover Loss
106,2023,Green Cover Loss,Pending Complaints
188,2023,Green Cover Loss,Air Quality
105,2023,Crime Rate,Transit Access
189,2023,Green Cover Loss,Crime Rate
191,2023,Price Surge,Crime Rate
192,2023,Pending Complaints,Green Cover Loss
193,2023,Pending Complaints,Price Surge
3,2024,Transit Access,Pending Complaints
17,2024,Green Cover Loss,Crime Rate
15,2024,Transit Access,Air Quality
16,2024,Price Surge,Green Cover Loss
18,2024,Transit Access,Price Surge
19,2024,Pending Complaints,Green Cover Loss
37,2024,Price Surge,Pending Complaints
20,2024,Crime Rate,Pending Complaints
21,2024,Green Cover Loss,Air Quality
67,2024,Transit Access,Crime Rate
22,2024,Transit Access,Crime Rate
23,2024,Transit Access,Air Quality
63,2024,Transit Access,Price Surge
24,2024,Air Quality,Price Surge
25,2024,Transit Access,Air Quality
26,2024,Crime Rate,Transit Access
30,2024,Price Surge,Pending Complaints
27,2024,Price Surge,Pending Complaints
28,2024,Green Cover Loss,Transit Access
29,2024,Air Quality,Pending Complaints
35,2024,Air Quality,Pending Complaints
31,2024,Pending Complaints,Green Cover Loss
36,2024,Crime Rate,Transit Access
52,2024,Price Surge,Green Cover Loss
32,2024,Price Surge,Transit Access
33,2024,Price Surge,Crime Rate
34,2024,Pending Complaints,Transit Access
41,2024,Price Surge,Crime Rate
53,2024,Air Quality,Price Surge
70,2024,Air Quality,Pending Complaints
42,2024,Transit Access,Price Surge
54,2024,Pending Complaints,Air Quality
55,2024,Green Cover Loss,Crime Rate
43,2024,Crime Rate,Price Surge
44,2024,Green Cover Loss,Transit Access
45,2024,Crime Rate,Transit Access
51,2024,Transit Access,Air Quality
71,2024,Pending Complaints,Transit Access
56,2024,Green Cover Loss,Crime Rate
57,2024,Transit Access,Pending Complaints
60,2024,Transit Access,Green Cover Loss
61,2024,Price Surge,Air Quality
66,2024,Crime Rate,Transit Access
68,2024,Pending Complaints,Price Surge
69,2024,Price Surge,Green Cover Loss
74,2024,Transit Access,Price Surge
75,2024,Green Cover Loss,Price Surge
86,2024,Crime Rate,Air Quality
89,2024,Green Cover Loss,Price Surge
80,2024,Price Surge,Air Quality
93,2024,Green Cover Loss,Air Quality
87,2024,Crime Rate,Pending Complaints
81,2024,Air Quality,Transit Access
94,2024,Price Surge,Green Cover Loss
82,2024,Pending Complaints,Air Quality
76,2024,Air Quality,Crime Rate
96,2024,Transit Access,Green Cover Loss
78,2024,Air Quality,Green Cover Loss
77,2024,Price Surge,Air Quality
79,2024,Pending Complaints,Transit Access
